V_0	V_1	V_2	
0.000879246	-0.00372749	-0.00104703	
0.000835916	-0.00375466	-0.00105731	
0.000885427	-0.00377589	-0.00106117	
0.000857016	-0.00373837	-0.000992357	
0.000858265	-0.00376156	-0.00102433	
0.000847566	-0.00376519	-0.00108869	
0.000830924	-0.00367416	-0.00101619	
0.000910807	-0.00375538	-0.00104435	
0.000894283	-0.00378332	-0.00105006	
0.000873243	-0.00367731	-0.00106058	
0.000789318	-0.003726	-0.00103443	
0.000840315	-0.00374462	-0.00109291	
0.000911342	-0.00372559	-0.0010314	
0.000837997	-0.00374182	-0.00099408	
0.00085036	-0.00376216	-0.00102795	
0.000820166	-0.00378665	-0.00103598	
0.000849468	-0.00375674	-0.00111923	
0.000871578	-0.00370294	-0.00107258	
0.000867477	-0.00374093	-0.00111763	
0.000860286	-0.00370478	-0.0010311	
0.000895115	-0.00377874	-0.00105618	
0.000879484	-0.00366548	-0.00107543	
0.000889231	-0.00379884	-0.0010172	
0.000839661	-0.00373861	-0.00105874	
0.000862009	-0.00366018	-0.00100204	
0.000859394	-0.00370198	-0.00104126	
0.000838829	-0.0037414	-0.00105624	
0.000826466	-0.00372672	-0.00100448	
0.000881326	-0.00375223	-0.00101018	
0.000828546	-0.00377036	-0.00100793	
0.000895888	-0.00373861	-0.000995269	
0.000851251	-0.00376792	-0.00100317	
0.000864624	-0.00379825	-0.00104887	
0.000936602	-0.00371144	-0.00103609	
0.000903971	-0.00379058	-0.00108809	
0.000870033	-0.00373142	-0.00101423	
0.00089143	-0.00375877	-0.00105903	
0.000871638	-0.00380336	-0.00100293	
0.000828071	-0.0037684	-0.00103122	
0.000893748	-0.00371768	-0.00103633	
0.000895175	-0.00373915	-0.00102861	
0.000847744	-0.00373897	-0.000992892	
0.00086611	-0.00367921	-0.00103609	
0.000873778	-0.0037901	-0.00104138	
0.000916037	-0.00380847	-0.00104935	
0.000860464	-0.00372648	-0.00102569	
0.00082712	-0.00374527	-0.00105838	
0.000871816	-0.00374396	-0.00109314	
0.00087568	-0.00377726	-0.00105719	
0.000853213	-0.00375139	-0.00105992	
0.000922575	-0.00372624	-0.000994496	
0.000901653	-0.00375544	-0.00102308	
0.000847744	-0.00374872	-0.00104263	
0.000880078	-0.00372095	-0.00102825	
0.00089149	-0.00381252	-0.00105285	
0.000892144	-0.00370567	-0.00100965	
0.000817075	-0.00376947	-0.00106949	
0.000801622	-0.00381858	-0.00111335	
0.000933749	-0.00374658	-0.00102421	
0.000875382	-0.00376757	-0.00104531	
0.00092525	-0.00371459	-0.00100626	
0.000894699	-0.00373599	-0.0010765	
0.0008229	-0.0037571	-0.00101137	
0.000850716	-0.00375978	-0.00101244	
0.00089036	-0.00371833	-0.00102546	
0.000878473	-0.00378665	-0.00108144	
0.000915799	-0.0037508	-0.00105018	
0.000794905	-0.00376554	-0.00104673	
0.000801324	-0.00372678	-0.00109623	
0.000857433	-0.00378124	-0.00105309	
0.000837581	-0.00371275	-0.00104715	
0.000854817	-0.00374194	-0.00108393	
0.000857611	-0.00374432	-0.00101268	
0.000869439	-0.00374878	-0.000989683	
0.000766197	-0.00372963	-0.00105267	
0.000905338	-0.0037527	-0.00105131	
0.000909975	-0.003737	-0.00102878	
0.000850122	-0.00372916	-0.00106468	
0.000779808	-0.00374485	-0.00106914	
0.000871281	-0.00375704	-0.00106919	
0.00084085	-0.00375633	-0.00111329	
0.000875798	-0.00376887	-0.00109671	
0.000910985	-0.0037049	-0.00107122	
0.00086504	-0.00371132	-0.00108245	
0.000850954	-0.00370733	-0.00103253	
0.000894105	-0.00375407	-0.00106159	
0.000831578	-0.00371453	-0.0010661	
0.000820404	-0.00366946	-0.00102136	
0.000913362	-0.00373427	-0.00101316	
0.00081024	-0.00366673	-0.00103811	
0.000834847	-0.0036958	-0.00107526	
0.000901237	-0.00368974	-0.00108536	
0.000822365	-0.00369592	-0.00101054	
0.00088828	-0.00378344	-0.00104917	
0.000843049	-0.00369907	-0.00104263	
0.000798947	-0.0037684	-0.00101161	
0.000771725	-0.00370983	-0.0010456	
0.00086189	-0.00371631	-0.00106688	
0.000910093	-0.00374289	-0.00103508	
0.000905041	-0.00365995	-0.0010172	
0.000804593	-0.00375443	-0.00106337	
0.000805069	-0.00370811	-0.00107413	
0.000818026	-0.00368308	-0.00108251	
0.000865813	-0.00370151	-0.0010831	
0.000834668	-0.00369931	-0.0010333	
0.000853569	-0.00369996	-0.00104667	
0.000877225	-0.0036782	-0.00104394	
0.000870033	-0.00381709	-0.00107948	
0.000848339	-0.00376632	-0.0011083	
0.00083027	-0.00371625	-0.00107573	
0.00085137	-0.00372904	-0.00102516	
0.000861593	-0.00369015	-0.0010232	
0.000838116	-0.00366393	-0.00100733	
0.000888399	-0.00379938	-0.00103134	
0.00089565	-0.00372095	-0.00103253	
0.000801978	-0.00372957	-0.00106908	
0.000841622	-0.00378059	-0.00108304	
0.000822187	-0.00372488	-0.00106759	
0.000869617	-0.00374129	-0.00103829	
0.000841444	-0.00374569	-0.000985166	
0.000836689	-0.00376388	-0.00106147	
0.000845783	-0.0036939	-0.0010916	
0.000853034	-0.00372279	-0.00109029	
